31,42,65,75
20,29,59,68
47,55,86,96
37,46,71,83
5,17,40,52
4,8,39,51
7,20,47,61
21,31,53,62
10,19,47,57
22,34,54,64
6,9,38,53
11,15,43,52
11,32,62,69
46,62,77,94
14,19,47,63
23,33,60,74
55,62,94,105
21,31,49,62
41,49,77,89
8,14,40,56
9,14,41,56
3,9,38,47
7,15,41,58
20,25,47,62
15,22,47,58
19,25,49,61
13,18,48,60
16,22,50,66
24,29,52,69
34,42,72,84
10,17,44,61
32,28,55,73
32,38,61,75
36,41,72,87
22,29,57,72
26,34,58,76
27,33,55,72
20,33,59,76
25,32,55,70
26,30,51,65
15,24,49,60
12,20,47,64
23,30,52,65
24,31,52,66
32,38,63,78
11,22,45,58
37,48,73,83
21,31,53,65
12,23,48,56
28,37,68,74
27,38,53,74
39,49,73,84
9,19,43,55
15,23,48,61
26,34,58,71
12,18,46,56
11,19,47,55
10,19,47,55
33,36,58,70
39,53,73,84
23,31,59,67
12,19,44,56
32,40,64,76
24,33,56,67
13,21,45,58
14,21,46,58
13,21,47,57
42,50,75,88
20,32,54,66
12,21,43,57
11,19,43,55
21,30,53,65
18,23,43,56
38,50,74,83
1,2,30,39
25,31,53,67
19,26,47,60
24,31,58,66
8,17,36,49
43,54,74,86
46,52,75,90
75,86,103,119
11,19,42,52
16,29,44,60
49,63,83,96
23,36,54,69
29,35,59,70
6,15,35,48
8,19,35,50
15,22,46,57
1,9,33,43
34,49,64,79
21,30,47,58
17,25,48,58
43,50,45,87
57,68,89,100
11,21,46,56
23,32,54,66
17,29,46,60
26,36,61,72
22,29,50,60
42,55,82,88
28,43,61,74
38,45,74,83
13,21,45,55
34,46,64,80
4,15,38,50
24,36,57,64
38,50,70,82
15,24,44,57
42,51,74,85
35,47,67,75
22,35,53,68
24,32,53,61
39,47,68,83
14,22,43,55
30,43,63,73
13,20,46,54
4,17,34,48
26,35,59,63
14,25,43,56
24,34,62,63
22,32,56,68
23,34,57,64
8,23,43,53
20,31,53,65
27,43,59,72
31,39,60,70
1,2,27,38
58,72,92,103
28,34,57,67
3,15,33,46
25,39,57,71
8,15,39,46
24,31,52,64
21,34,53,67
23,34,58,69
25,41,61,73
27,33,58,70
13,25,43,55
23,31,55,66
11,24,44,55
43,57,73,89
22,31,58,66
13,22,46,58
30,42,64,75
1,2,27,37
21,31,55,65
31,42,63,76
15,30,47,61
22,24,46,57
24,36,55,69
30,40,62,75
27,33,54,65
14,26,46,60
21,37,56,67
28,46,71,75
25,43,60,72
29,37,59,73
7,22,41,53
31,36,59,69
73,86,105,117
16,27,46,61
31,40,63,75
11,20,41,54
6,17,40,52
27,35,56,70
24,35,59,71
12,21,46,56
32,43,66,76
21,30,53,65
25,34,56,68
15,24,46,59
24,34,56,68
56,63,89,102
70,85,103,117
55,69,85,100
31,40,60,75
23,35,51,68
25,36,56,70
1,10,34,44
15,24,43,56
10,20,45,53
15,28,44,57
25,35,55,69
50,65,85,96
43,55,75,88
16,28,46,57
59,69,93,102
23,34,54,68
43,55,74,87
16,27,46,57
26,38,63,73
37,53,66,81
44,58,78,90
2,12,35,46
39,55,75,85
29,40,64,74
25,35,55,67
24,29,52,60
62,79,95,108
9,25,43,51
16,34,50,60
1,13,39,46
22,31,49,59
39,51,73,82
4,15,41,47
52,65,81,96
18,33,50,60
31,44,63,73
45,57,76,89
22,32,49,60
21,31,50,57
1,19,40,47
24,36,56,68
26,39,56,70
21,31,48,58
11,21,47,54
31,43,69,78
19,31,53,62
29,41,60,71
44,57,82,90
23,31,53,64
43,53,78,88
6,14,43,49
26,36,60,70
18,31,53,64
33,44,63,76
41,51,75,85
19,30,47,60
15,23,43,57
49,63,91,96
15,27,49,61
21,29,49,57
29,39,68,75
3,14,33,43
7,17,43,49
35,44,63,73
40,53,73,85
33,47,67,74
11,19,46,53
21,31,53,60
47,57,73,87
15,28,49,58
6,17,45,52
21,30,51,58
36,46,73,81
41,53,78,85
34,45,68,75
33,44,68,78
24,35,58,67
18,28,47,57
51,63,91,97
44,53,79,90
22,31,53,60
16,24,48,57
25,35,57,66
9,19,47,56
6,18,41,48
25,31,53,62
24,28,53,58
23,36,57,68
21,30,55,63
40,49,75,83
12,22,45,55
23,29,50,58
40,53,83,85
28,37,63,73
31,39,60,68
42,50,73,81
21,28,50,58
22,34,56,68
7,19,46,53
40,53,73,85
8,20,46,54
41,55,74,87
16,28,47,58
14,27,53,59
18,31,53,59
40,54,78,86
20,30,46,58
32,44,69,76
23,31,50,58
41,52,74,87
41,53,76,84
23,29,53,60
27,38,63,71
16,25,43,52
10,24,43,56
26,38,63,72
11,21,46,56
34,45,71,78
41,52,73,84
27,37,67,73
27,33,59,67
15,27,50,60
17,25,47,56
35,46,73,80
1,15,38,47
19,31,53,63
62,72,97,107
16,25,47,58
40,57,77,85
33,47,69,82
23,30,54,62
7,24,39,56
1,10,32,43
20,28,50,58
12,23,47,59
19,28,44,55
11,23,47,57
22,35,59,67
31,44,67,78
38,47,74,83
16,28,49,61
29,38,64,75
34,42,70,78
38,47,73,85
35,48,68,81
12,25,46,59
24,31,49,62
25,29,57,63
42,54,81,88
31,42,66,79
1,2,28,43
22,35,57,66
13,25,48,60
15,28,51,64
23,36,56,69
1,3,28,35
15,26,50,58
36,48,72,78
29,40,68,72
38,51,77,81
20,31,56,62
41,55,79,84
18,30,53,61
31,44,71,74
30,41,67,72
27,38,66,71
13,23,50,56
1,11,35,44
37,51,75,81
30,42,68,74
14,24,49,55
38,52,76,82
21,31,57,64
31,41,69,75
28,33,57,62
24,33,57,66
42,54,79,84
24,37,60,66
13,22,47,54
16,29,48,56
28,35,60,63
43,51,81,85
6,15,40,48
31,40,68,74
42,52,79,84
14,24,51,56
24,35,60,66
17,33,55,60
12,22,49,52
19,29,54,60
12,24,46,55
29,37,67,71
24,35,57,67
37,50,79,81
24,36,59,66
4,15,38,45
